"CFIPS","YEAR","COUNTY","Total Population","Births","Deaths","Net Migration","Natural Increase","Census Building Permits","Group Quarters Population","Household Population","Households","Household Size","Total Housing Units","Vacancy Rate","Vacant Housing Units",
"71","2010","Las Animas County","15407","154","176","-48","-22","4.5","858","14,549","6,341","2.29","8,221","22.86","1,880",
"73","2010","Lincoln County","5474","57","48","2","9","1.75","1,030","4,444","1,951","2.27","2,422","19.44","471",
"75","2010","Logan County","22293","206","202","-228","4","3.75","3,474","18,819","8,053","2.33","8,985","10.37","932",
"77","2010","Mesa County","147155","2021","1309","1,648","712","91.25","4,467","142,688","57,963","2.46","62,358","7.04","4,395",
"79","2010","Mineral County","705","9","8","-10","1","1.75","0","705","351","2","1,203","70.82","852",
"81","2010","Moffat County","13806","217","103","148","114","5.25","102","13,704","5,470","2.5","6,202","11.8","732",
"83","2010","Montezuma County","25532","317","270","120","47","4","237","25,295","10,540","2.39","12,098","12.87","1,558",
"85","2010","Montrose County","41188","487","389","410","98","29.5","542","40,646","16,449","2.47","18,280","10.01","1,831",
"87","2010","Morgan County","28196","447","239","-38","208","4.75","564","27,632","10,308","2.68","11,495","10.32","1,187",
"89","2010","Otero County","18838","218","213","-11","5","0.75","433","18,405","7,732","2.38","8,970","13.8","1,238",
"91","2010","Ouray County","4446","38","27","63","11","5.25","0","4,446","2,026","2.19","3,088","34.39","1,062",
"93","2010","Park County","16262","121","82","252","39","26.5","92","16,170","7,199","2.24","13,973","48.47","6,774",
"95","2010","Phillips County","4465","59","54","6","5","1.75","60","4,405","1,829","2.4","2,089","12.44","260",
"97","2010","Pitkin County","17156","141","38","0","103","7.09","72","17,084","8,156","2.09","12,960","37.06","4,804",
"99","2010","Prowers County","12531","186","123","-108","63","0.25","315","12,216","4,928","2.47","5,942","17.06","1,014",
"101","2010","Pueblo County","159496","2070","1542","1,644","528","94.25","4,321","155,175","63,148","2.45","69,615","9.28","6,467",
"103","2010","Rio Blanco County","6617","101","43","242","58","6.5","235","6,382","2,626","2.43","3,315","20.78","689",
"105","2010","Rio Grande County","12001","166","125","-35","41","3.5","198","11,803","4,787","2.46","6,633","27.83","1,846",
"107","2010","Routt County","23439","247","90","-43","157","17.5","335","23,104","9,863","2.34","16,321","39.56","6,458",
"109","2010","Saguache County","6144","65","47","0","18","9.75","18","6,126","2,652","2.3","3,854","31.18","1,202",
"111","2010","San Juan County","709","3","3","22","0","1","0","709","349","2.03","757","53.89","408",
"113","2010","San Miguel County","7356","65","20","44","45","11","9","7,347","3,451","2.12","6,659","48.17","3,208",
"115","2010","Sedgwick County","2367","21","36","6","-15","0.25","35","2,332","1,087","2.14","1,415","23.18","328",
"117","2010","Summit County","28073","287","51","54","236","19.5","273","27,800","11,787","2.35","29,861","60.52","18,074",
"119","2010","Teller County","23441","202","151","185","51","9.04","132","23,309","9,844","2.36","12,651","22.18","2,807",
"121","2010","Washington County","4815","54","41","25","13","1.75","184","4,631","1,980","2.33","2,436","18.71","456",
"123","2010","Weld County","254230","3799","1352","2,824","2,447","171.68","5,895","248,335","89,849","2.76","96,454","6.84","6,605",
